"","Name","Address","lon","lat"
"108","Enterprise Bank & Trust","12695 Metcalf Ave, Overland Park, Kansas 66213",-94.6671158,38.8990041
"109","Arvest Bank","7401 W 135th St, Overland Park, Kansas 66223",-94.6722355,38.8831061
"110","The Central Trust Bank","Main And Center Streets, Gardner, Kansas 66030",-94.9275003,38.8021771
"111","HTLF Bank","10101 Woodland Dr, Lenexa, Kansas 66220",-94.8151751,38.9620203
"112","Security Bank of Kansas City","5800 Foxridge Dr, Mission, Kansas 66202",-94.6670755,39.0232812
"113","UMB Bank, National Association","15301 W 87th Street Pkwy, Lenexa, Kansas 66219",-94.7641487,38.9705149
"114","BMO Harris Bank National Association","7225 Renner Rd, Shawnee, Kansas 66217",-94.7791103,38.9977805
"115","Capitol Federal Savings Bank","1900 W 75th St, Prairie Village, Kansas 66208",-94.6088047,38.9935607
"116","Commerce Bank","4018 Rainbow Blvd, Kansas City, Kansas 66103",-94.6118293,39.0543272
"117","Commerce Bank","8700 Monrovia St, Lenexa, Kansas 66215",-94.7289103,38.9705666
"118","Capitol Federal Savings Bank","1408 E Santa Fe St, Olathe, Kansas 66061",-94.7953363,38.8839638
"119","Intrust Bank, National Association","4000 Somerset Dr, Prairie Village, Kansas 66208",-94.6318424,38.9814769
"120","Security Bank of Kansas City","10840 Parallel Pkwy, Kansas City, Kansas 66109",-94.8309188,39.1291812
"121","Bank of America, National Association","7747 Quivira Rd, Lenexa, Kansas 66216",-94.7231249,38.9875543
"122","UMB Bank, National Association","7109 W 80th St, Overland Park, Kansas 66204",-94.6683772,38.9834531
"123","Bank of Prairie Village","3515 W 75th St, Prairie Village, Kansas 66208",-94.6268765,38.9928469
"124","CrossFirst Bank","11440 Tomahawk Creek Pkwy, Leawood, Kansas 66211",-94.631234,38.9217228
"125","Kendall Bank","11225 College Blvd, Overland Park, Kansas 66210",-94.7166512,38.9265725
"126","Cornerstone Bank","9120 W 135th St, Overland Park, Kansas 66221",-94.6926131,38.8842691
"127","CoreFirst Bank & Trust","11875 S Ridgeview Rd, Olathe, Kansas 66061",-94.7968859,38.9136125
"128","Academy Bank, National Association","15084 S Blackbob Rd, Olathe, Kansas 66062",-94.7615948,38.8551994
"129","Arvest Bank","306 E Main St, Gardner, Kansas 66030",-94.9226857,38.811359
"130","Country Club Bank","21911 W 66th St, Shawnee, Kansas 66226",-94.839871,39.0096285
